38, 33, 4
35, 30, 3
35, 30, 2
36, 32, 3
36, 31, 3
38, 33, 3
39, 34, 3
38, 33, 3
38, 33, 3
36, 31, 2
37, 32, 3
40, 35, 2
42, 37, 4
45, 40, 4
46, 41, 4
44, 39, 4
42, 37, 3
42, 37, 4
41, 37, 4
41, 36, 4
40, 35, 3
40, 35, 2
40, 35, 2
42, 37, 4
42, 36, 3
41, 35, 4
39, 34, 4
38, 32, 3
36, 31, 3
35, 30, 3
35, 30, 2
35, 30, 2
35, 30, 3
34, 29, 3
34, 29, 3
33, 28, 2
32, 26, 1
32, 27, 2
33, 28, 3
31, 26, 1
32, 27, 1
32, 26, 2
32, 27, 2
32, 27, 2
32, 27, 2
33, 28, 2
34, 29, 3
34, 29, 3
34, 29, 1
35, 30, 2
36, 31, 3
37, 32, 3
39, 34, 4
40, 35, 4
42, 37, 4
43, 38, 3
44, 39, 4
45, 41, 5
47, 43, 5
50, 47, 6
52, 48, 6
53, 49, 6
55, 50, 5
56, 51, 5
58, 52, 5
57, 51, 5
55, 50, 5
53, 48, 5
50, 45, 4
49, 45, 4
47, 43, 4
45, 41, 4
43, 38, 4
41, 36, 4
39, 35, 3
41, 37, 4
35, 33, 3
33, 31, 2
35, 31, 3
35, 30, 3
35, 30, 3
32, 27, 2
32, 26, 2
31, 26, 2
30, 25, 2
29, 24, 3
29, 24, 2
29, 24, 2
29, 23, 2
28, 23, 2
30, 25, 3
31, 26, 2
31, 26, 2
32, 27, 3
35, 30, 3
36, 30, 3
36, 31, 3
35, 30, 3
35, 30, 3
35, 30, 2
