14, 7, 3
14, 8, 4
14, 8, 4
14, 7, 3
14, 7, 3
14, 7, 3
14, 8, 4
14, 8, 3
14, 7, 3
14, 8, 4
14, 8, 4
14, 7, 3
14, 8, 4
14, 8, 4
14, 8, 3
12, 6, 3
12, 6, 3
12, 6, 3
12, 7, 3
12, 7, 3
12, 7, 3
12, 7, 3
11, 6, 2
10, 5, 2
9, 5, 2
8, 4, 1
9, 5, 2
10, 5, 2
10, 5, 2
11, 6, 2
11, 6, 2
12, 6, 3
11, 6, 2
11, 6, 3
11, 6, 3
11, 6, 2
11, 6, 2
10, 5, 2
11, 6, 2
12, 6, 3
10, 5, 2
9, 5, 1
10, 5, 2
12, 7, 3
12, 7, 3
12, 7, 3
13, 7, 3
14, 7, 4
12, 7, 3
12, 6, 3
11, 6, 3
11, 6, 3
12, 6, 3
12, 6, 3
11, 6, 3
11, 6, 3
12, 7, 3
12, 6, 3
12, 6, 3
12, 7, 3
13, 7, 3
13, 7, 3
12, 7, 3
12, 7, 3
11, 6, 2
11, 6, 3
11, 6, 2
11, 6, 2
10, 5, 1
10, 5, 2
12, 6, 3
10, 6, 2
12, 7, 3
12, 7, 3
13, 7, 4
13, 7, 3
12, 6, 3
12, 7, 3
13, 7, 3
13, 7, 3
13, 7, 3
13, 7, 3
12, 7, 3
10, 5, 2
10, 5, 2
10, 5, 2
11, 6, 2
11, 5, 2
10, 5, 2
10, 5, 2
10, 5, 2
12, 7, 3
14, 8, 4
14, 7, 3
14, 8, 3
14, 7, 3
14, 8, 3
13, 7, 3
13, 7, 3
12, 7, 3
