51, 75, 59
51, 75, 59
51, 75, 59
51, 75, 59
51, 75, 59
51, 74, 59
51, 75, 59
52, 75, 60
52, 76, 60
52, 77, 60
52, 76, 60
52, 76, 59
53, 77, 60
55, 80, 61
55, 80, 61
55, 79, 61
55, 80, 61
59, 85, 64
59, 84, 64
60, 86, 65
63, 91, 68
64, 95, 68
62, 88, 65
57, 81, 61
55, 80, 60
60, 88, 68
62, 90, 70
59, 86, 68
58, 85, 66
61, 87, 70
58, 88, 66
57, 83, 65
59, 86, 68
62, 91, 68
57, 84, 64
46, 65, 55
54, 81, 61
56, 82, 65
59, 88, 66
57, 83, 65
53, 78, 61
49, 70, 58
50, 71, 58
46, 67, 53
40, 59, 49
39, 58, 47
44, 64, 52
50, 75, 58
47, 69, 58
46, 69, 55
41, 61, 44
47, 69, 52
51, 73, 60
53, 76, 61
55, 82, 65
54, 82, 62
58, 82, 66
61, 93, 69
63, 93, 70
64, 93, 70
52, 79, 58
56, 86, 67
62, 93, 68
54, 80, 59
64, 93, 72
67, 95, 73
69, 100, 74
70, 100, 75
72, 100, 76
71, 100, 76
75, 100, 77
75, 100, 76
60, 84, 64
54, 77, 58
54, 77, 58
51, 73, 57
51, 74, 58
55, 79, 60
56, 82, 62
52, 75, 60
50, 71, 58
50, 74, 59
55, 82, 64
52, 81, 64
48, 71, 53
54, 81, 62
56, 82, 66
55, 81, 66
53, 78, 63
53, 79, 62
56, 79, 64
55, 79, 65
51, 73, 59
48, 72, 56
47, 69, 56
48, 70, 56
48, 70, 55
48, 70, 55
47, 68, 55
48, 70, 55
