255, 56, 25, 80
255, 56, 27, 80
255, 56, 27, 88
255, 55, 26, 88
255, 55, 26, 88
255, 55, 26, 88
255, 56, 26, 88
255, 56, 26, 97
255, 56, 24, 179
255, 56, 25, 77
255, 56, 24, 208
255, 56, 22, 106
255, 60, 27, 25
255, 62, 28, 143
255, 57, 27, 101
255, 57, 26, 46
255, 57, 28, 155
255, 58, 28, 16
255, 55, 25, 175
255, 53, 23, 27
255, 54, 21, 164
255, 54, 22, 244
255, 56, 20, 7
255, 59, 20, 60
255, 63, 25, 137
255, 64, 28, 35
255, 64, 28, 242
255, 64, 28, 243
255, 64, 28, 242
255, 65, 33, 3
255, 64, 33, 181
255, 60, 31, 147
255, 58, 29, 224
255, 61, 33, 130
255, 63, 31, 141
255, 64, 30, 89
255, 63, 26, 135
255, 64, 28, 11
255, 63, 32, 227
255, 60, 31, 253
255, 58, 29, 53
255, 60, 34, 169
255, 55, 26, 80
255, 57, 24, 89
255, 55, 30, 195
255, 60, 34, 109
255, 63, 33, 130
255, 64, 34, 91
255, 64, 33, 109
255, 65, 31, 194
255, 64, 28, 218
255, 64, 29, 193
255, 64, 32, 159
255, 62, 31, 136
255, 61, 31, 175
255, 56, 29, 170
255, 52, 27, 73
255, 54, 26, 39
255, 55, 26, 80
255, 57, 29, 19
255, 60, 34, 240
255, 62, 31, 195
255, 62, 28, 222
255, 62, 21, 148
255, 63, 24, 178
255, 62, 29, 118
255, 61, 32, 219
255, 59, 32, 232
255, 56, 30, 227
255, 54, 31, 122
255, 55, 26, 80
255, 56, 27, 72
255, 56, 30, 96
255, 56, 23, 171
255, 57, 30, 77
255, 60, 32, 204
255, 62, 31, 142
255, 62, 30, 55
255, 63, 29, 138
255, 63, 27, 53
255, 63, 25, 136
255, 64, 30, 121
255, 63, 34, 217
255, 61, 33, 117
255, 57, 32, 218
255, 56, 29, 170
255, 55, 27, 212
255, 61, 29, 52
255, 61, 30, 141
255, 60, 31, 241
255, 60, 31, 180
255, 62, 31, 10
255, 58, 22, 209
255, 58, 20, 79
255, 58, 24, 218
255, 57, 27, 253
255, 53, 27, 111
255, 53, 25, 130
255, 50, 22, 56
255, 55, 22, 56
