6, 14, 2
6, 14, 2
5, 13, 2
5, 13, 2
5, 13, 2
5, 13, 2
5, 13, 2
5, 14, 2
6, 14, 2
5, 13, 1
6, 14, 2
5, 13, 2
6, 14, 3
5, 13, 1
5, 14, 2
5, 14, 2
5, 14, 2
6, 14, 2
6, 14, 3
7, 15, 3
6, 14, 2
6, 15, 2
6, 14, 2
7, 16, 2
6, 14, 2
6, 14, 3
6, 15, 2
6, 14, 2
7, 16, 3
6, 14, 2
6, 14, 2
7, 15, 2
6, 14, 2
6, 14, 2
6, 14, 2
6, 14, 2
6, 14, 2
6, 15, 2
6, 14, 3
5, 14, 2
6, 14, 2
6, 14, 2
6, 15, 2
6, 14, 3
5, 14, 2
6, 15, 2
6, 14, 2
6, 14, 2
6, 14, 2
5, 14, 2
5, 14, 2
6, 13, 3
6, 14, 2
6, 14, 2
5, 14, 2
5, 14, 2
5, 13, 2
6, 14, 2
6, 14, 2
6, 14, 2
6, 15, 2
6, 14, 2
6, 14, 2
5, 13, 2
5, 14, 2
6, 14, 2
6, 14, 3
6, 15, 2
6, 14, 2
5, 14, 2
6, 14, 2
6, 14, 2
6, 14, 2
5, 14, 2
5, 14, 1
6, 15, 2
5, 12, 1
6, 14, 2
6, 15, 2
5, 14, 2
6, 14, 2
5, 13, 1
5, 13, 2
5, 13, 1
5, 14, 2
5, 12, 1
5, 14, 2
5, 13, 2
5, 13, 2
6, 14, 2
5, 12, 1
5, 13, 2
5, 12, 2
5, 12, 1
5, 13, 1
5, 13, 2
6, 13, 2
6, 13, 2
6, 14, 2
6, 14, 2
