27, 28, 5
27, 28, 4
27, 27, 4
26, 27, 4
26, 27, 5
26, 27, 5
26, 27, 5
26, 27, 4
26, 27, 4
26, 27, 5
26, 27, 4
26, 27, 5
27, 27, 5
27, 27, 4
26, 27, 5
26, 27, 4
27, 28, 5
28, 28, 6
28, 29, 6
28, 29, 6
28, 30, 5
29, 30, 6
30, 31, 6
29, 30, 5
29, 30, 5
32, 33, 7
31, 32, 7
32, 33, 7
35, 35, 8
37, 37, 9
35, 36, 9
34, 35, 8
33, 34, 8
29, 30, 6
29, 29, 6
28, 29, 6
29, 29, 6
29, 29, 6
29, 30, 6
30, 31, 6
30, 31, 7
30, 31, 6
31, 31, 6
31, 31, 7
29, 29, 5
29, 29, 6
29, 30, 6
31, 32, 6
35, 35, 8
38, 38, 9
36, 37, 8
35, 35, 8
32, 33, 7
30, 30, 6
29, 30, 6
27, 28, 4
26, 26, 5
26, 26, 5
27, 26, 5
26, 26, 5
29, 30, 6
31, 31, 6
32, 33, 7
32, 32, 7
30, 31, 6
29, 29, 6
29, 30, 6
30, 30, 6
30, 30, 6
31, 31, 6
31, 31, 6
32, 31, 6
32, 33, 7
33, 33, 7
34, 35, 8
35, 35, 7
35, 36, 8
35, 35, 8
35, 35, 8
37, 37, 8
37, 37, 8
36, 37, 7
37, 38, 8
37, 38, 8
37, 38, 9
36, 37, 8
34, 35, 8
31, 33, 6
30, 31, 5
29, 29, 5
28, 28, 5
27, 26, 5
26, 26, 5
25, 25, 4
24, 25, 4
25, 25, 4
24, 24, 4
25, 25, 4
24, 24, 4
24, 24, 3
