31, 4, 0
32, 4, 1
29, 4, 0
30, 4, 0
31, 4, 0
44, 7, 3
43, 6, 1
26, 3, 0
23, 2, 0
34, 5, 1
63, 9, 4
59, 9, 5
34, 5, 2
19, 2, 0
17, 1, 0
28, 3, 1
57, 9, 4
63, 9, 4
43, 6, 3
24, 3, 0
22, 2, 0
34, 5, 1
62, 9, 4
54, 8, 3
23, 3, 0
16, 1, 0
13, 1, 0
18, 1, 0
42, 7, 2
49, 8, 3
36, 5, 2
14, 1, 0
13, 1, 0
22, 3, 0
40, 6, 1
43, 5, 0
19, 2, 0
14, 1, 0
16, 1, 0
23, 3, 0
39, 6, 1
40, 5, 0
24, 3, 0
16, 1, 0
16, 1, 0
30, 4, 0
41, 6, 1
42, 6, 2
30, 4, 0
22, 2, 0
19, 2, 0
28, 4, 0
43, 7, 2
51, 8, 3
40, 6, 2
26, 3, 0
19, 2, 0
22, 2, 0
36, 5, 1
46, 7, 2
39, 6, 2
25, 3, 1
18, 1, 0
19, 2, 0
36, 5, 1
50, 7, 2
48, 8, 3
36, 5, 2
24, 3, 0
18, 1, 0
17, 1, 0
29, 3, 0
44, 7, 2
47, 8, 4
42, 6, 3
28, 4, 1
19, 1, 0
20, 2, 0
31, 3, 1
56, 8, 3
64, 10, 5
55, 8, 5
35, 5, 2
24, 2, 0
24, 2, 0
38, 5, 2
63, 10, 5
63, 9, 4
56, 8, 4
34, 4, 2
24, 2, 1
25, 2, 0
37, 5, 2
63, 10, 5
61, 9, 4
59, 9, 6
40, 5, 3
27, 3, 1
26, 3, 0
39, 5, 2
