42, 52, 54
40, 50, 53
38, 47, 50
38, 47, 51
46, 57, 59
44, 55, 58
38, 47, 51
19, 23, 28
38, 47, 50
48, 60, 61
56, 68, 70
35, 43, 47
25, 30, 35
30, 37, 39
41, 51, 51
51, 63, 65
32, 38, 41
34, 40, 43
55, 66, 67
75, 84, 85
71, 80, 82
64, 77, 78
62, 75, 76
44, 52, 54
43, 52, 55
43, 53, 55
46, 58, 60
65, 77, 77
67, 78, 80
77, 85, 86
78, 75, 77
66, 58, 57
77, 73, 75
61, 72, 74
35, 43, 46
37, 45, 48
38, 47, 50
38, 48, 50
54, 66, 68
57, 68, 70
41, 49, 51
49, 59, 62
58, 70, 72
56, 68, 70
69, 80, 82
74, 83, 84
41, 49, 51
55, 66, 66
66, 78, 79
63, 75, 77
61, 73, 74
40, 50, 53
15, 18, 21
21, 25, 28
42, 52, 55
59, 71, 72
61, 73, 74
64, 77, 78
66, 78, 79
37, 47, 49
28, 35, 39
54, 66, 68
79, 85, 86
79, 80, 81
73, 81, 83
59, 70, 73
39, 48, 52
24, 29, 34
24, 28, 33
37, 45, 50
67, 79, 79
68, 80, 80
61, 73, 75
50, 62, 64
46, 56, 60
35, 43, 48
41, 49, 53
58, 70, 71
79, 84, 84
74, 72, 72
60, 72, 73
41, 51, 54
38, 47, 49
47, 58, 59
67, 79, 78
58, 70, 71
46, 57, 59
42, 52, 55
42, 52, 55
43, 52, 55
56, 67, 68
66, 78, 78
53, 65, 66
51, 63, 66
48, 59, 62
51, 63, 66
67, 78, 78
77, 80, 79
80, 83, 84
71, 82, 83
