31, 33, 32
32, 34, 33
31, 34, 33
32, 35, 33
32, 35, 33
32, 34, 33
32, 34, 33
32, 35, 35
34, 37, 35
34, 37, 36
34, 36, 35
33, 36, 34
34, 37, 35
34, 37, 35
35, 38, 36
36, 38, 36
36, 39, 35
41, 44, 39
43, 46, 40
47, 50, 42
50, 52, 44
51, 54, 46
53, 56, 48
57, 59, 51
68, 66, 62
68, 64, 65
62, 58, 67
54, 53, 61
57, 55, 63
60, 57, 66
68, 64, 65
67, 64, 65
64, 59, 68
54, 53, 61
50, 50, 58
47, 48, 55
43, 44, 51
38, 40, 45
33, 34, 38
32, 33, 37
31, 32, 35
32, 33, 37
35, 36, 41
39, 41, 47
48, 49, 55
59, 55, 65
69, 65, 65
62, 63, 55
52, 55, 47
42, 45, 39
37, 40, 36
33, 36, 32
32, 35, 33
31, 34, 32
31, 34, 32
31, 33, 32
31, 33, 32
31, 33, 32
31, 34, 32
31, 33, 32
31, 33, 32
31, 33, 32
30, 33, 31
29, 31, 30
30, 33, 32
30, 33, 31
29, 31, 30
30, 33, 31
31, 33, 32
30, 32, 31
30, 33, 32
30, 32, 31
30, 33, 31
30, 33, 32
31, 33, 32
30, 32, 31
30, 33, 31
31, 33, 32
30, 33, 32
30, 33, 31
30, 32, 31
30, 32, 31
30, 31, 31
30, 32, 31
30, 32, 31
31, 33, 32
30, 33, 31
30, 32, 31
31, 33, 31
30, 32, 31
30, 33, 32
31, 33, 32
30, 33, 31
30, 32, 31
31, 33, 32
31, 33, 32
31, 33, 31
31, 33, 32
31, 33, 32
31, 33, 32
