7, 8, 5
7, 8, 5
7, 8, 5
7, 8, 6
7, 8, 6
7, 8, 5
8, 9, 6
9, 10, 7
10, 11, 8
12, 13, 10
24, 27, 21
32, 37, 28
56, 66, 42
60, 66, 41
56, 66, 43
25, 29, 22
11, 13, 9
6, 6, 4
4, 5, 2
5, 6, 3
7, 8, 5
12, 14, 10
19, 21, 17
31, 37, 27
41, 49, 35
48, 58, 39
36, 42, 31
14, 16, 12
8, 10, 7
5, 6, 3
5, 5, 3
8, 9, 6
13, 14, 11
21, 24, 19
35, 42, 31
47, 56, 38
32, 38, 28
14, 16, 13
8, 9, 6
4, 5, 2
2, 3, 0
5, 5, 2
13, 14, 11
19, 21, 17
25, 28, 22
29, 31, 24
25, 26, 20
24, 25, 18
25, 26, 19
35, 38, 28
40, 47, 33
38, 45, 32
30, 36, 26
21, 27, 19
16, 21, 15
14, 19, 12
20, 26, 17
36, 45, 30
48, 59, 38
59, 67, 42
52, 60, 38
42, 47, 31
32, 34, 23
25, 25, 17
42, 47, 32
53, 62, 41
49, 59, 39
42, 51, 35
15, 17, 13
5, 5, 3
3, 3, 1
7, 7, 5
16, 18, 14
36, 43, 31
56, 66, 41
58, 66, 41
24, 29, 21
12, 13, 9
5, 6, 3
4, 4, 1
7, 7, 5
12, 13, 10
20, 23, 18
34, 41, 30
41, 49, 34
52, 62, 41
55, 65, 42
27, 31, 24
11, 12, 9
4, 5, 2
3, 4, 1
3, 3, 0
6, 7, 4
13, 15, 12
19, 22, 17
26, 30, 23
34, 40, 30
26, 30, 23
20, 23, 18
27, 31, 24
