R, G, B, W
255, 129, 98, 109
255, 139, 107, 142
255, 157, 120, 139
255, 157, 115, 117
255, 142, 105, 165
255, 129, 92, 109
255, 143, 105, 196
255, 159, 118, 209
255, 159, 117, 178
255, 148, 109, 211
255, 129, 98, 29
255, 137, 101, 56
255, 149, 111, 47
255, 155, 116, 93
255, 149, 107, 187
255, 132, 96, 140
255, 138, 96, 213
255, 151, 102, 190
255, 160, 106, 41
255, 156, 105, 213
255, 137, 94, 93
